UF,COD_UF,COD_MUNIC,NOME_DO_MUNICIPIO,POPULACAO_ESTIMADA
RO,11,00015,"Alta Floresta D'Oeste",25506
RO,11,00023,Ariquemes,105896
RO,11,00031,Cabixi,6289
RO,11,00049,Cacoal,87877
RO,11,00056,Cerejeiras,17959
RO,11,00064,"Colorado do Oeste",18639
RO,11,00072,Corumbiara,8749
RO,11,00080,"Costa Marques",17031
RO,11,00098,"Espigão D'Oeste",32712
RO,11,00106,Guajará-Mirim,47048
RO,11,00114,Jaru,55806
RO,11,00122,Ji-Paraná,131560
RO,11,00130,"Machadinho D'Oeste",37899
RO,11,00148,"Nova Brasilândia D'Oeste",21670
RO,11,00155,"Ouro Preto do Oeste",39840
RO,11,00189,"Pimenta Bueno",37786
RO,11,00205,"Porto Velho",511219(1)
RO,11,00254,"Presidente Médici",22337
RO,11,00262,"Rio Crespo",3790
RO,11,00288,"Rolim de Moura",56664
RO,11,00296,"Santa Luzia D'Oeste",8362
RO,11,00304,Vilhena,93745
RO,11,00320,"São Miguel do Guaporé",24059
RO,11,00338,"Nova Mamoré",28255
RO,11,00346,"Alvorada D'Oeste",16902
RO,11,00379,"Alto Alegre dos Parecis",13993
RO,11,00403,"Alto Paraíso",20569
RO,11,00452,Buritis,38450
RO,11,00502,"Novo Horizonte do Oeste",10161
RO,11,00601,Cacaulândia,6414
RO,11,00700,"Campo Novo de Rondônia",14354
RO,11,00809,"Candeias do Jamari",24719
RO,11,00908,Castanheiras,3583
RO,11,00924,Chupinguaia,10364
RO,11,00940,Cujubim,21720
RO,11,01005,"Governador Jorge Teixeira",9933
RO,11,01104,"Itapuã do Oeste",10155
RO,11,01203,"Ministro Andreazza",10786
RO,11,01302,"Mirante da Serra",12308
RO,11,01401,"Monte Negro",16032
RO,11,01435,"Nova União",7796
RO,11,01450,Parecis,5802
RO,11,01468,"Pimenteiras do Oeste",2417
RO,11,01476,"Primavera de Rondônia",3456
RO,11,01484,"São Felipe D'Oeste",6048
RO,11,01492,"São Francisco do Guaporé",19353
RO,11,01500,Seringueiras,12617
RO,11,01559,Teixeirópolis,4966
RO,11,01609,Theobroma,11348
RO,11,01708,Urupá,13198
RO,11,01757,"Vale do Anari",10999
RO,11,01807,"Vale do Paraíso",8138
AC,12,00013,Acrelândia,14120
AC,12,00054,"Assis Brasil",6863
AC,12,00104,Brasiléia,24311
AC,12,00138,Bujari,9503
AC,12,00179,Capixaba,10820
AC,12,00203,"Cruzeiro do Sul",82075
AC,12,00252,Epitaciolândia,17038
AC,12,00302,Feijó,32372
AC,12,00328,Jordão,7685
AC,12,00336,"Mâncio Lima",17545
AC,12,00344,"Manoel Urbano",8765
AC,12,00351,"Marechal Thaumaturgo",17401
AC,12,00385,"Plácido de Castro",18336
AC,12,00393,"Porto Walter",11059
AC,12,00401,"Rio Branco",377057
AC,12,00427,"Rodrigues Alves",17464
AC,12,00435,"Santa Rosa do Purus",6021
AC,12,00450,"Senador Guiomard",21369
AC,12,00500,"Sena Madureira",42451
AC,12,00609,Tarauacá,39427
AC,12,00708,Xapuri,17894
AC,12,00807,"Porto Acre",17111
AM,13,00029,Alvarães,15729
AM,13,00060,Amaturá,11047
AM,13,00086,Anamã,12653
AM,13,00102,Anori,19749
AM,13,00144,Apuí,21031
AM,13,00201,"Atalaia do Norte",18599
AM,13,00300,Autazes,37752
AM,13,00409,Barcelos,27589
AM,13,00508,Barreirinha,31105
AM,13,00607,"Benjamin Constant",40417
AM,13,00631,Beruri,18579
AM,13,00680,"Boa Vista do Ramos",18080
AM,13,00706,"Boca do Acre",33840
AM,13,00805,Borba,39885
AM,13,00839,Caapiranga,12622
AM,13,00904,Canutama,15312
AM,13,01001,Carauari,28111
AM,13,01100,Careiro,36922
AM,13,01159,"Careiro da Várzea",28592
AM,13,01209,Coari,83929
AM,13,01308,Codajás,27303
AM,13,01407,Eirunepé,34461
AM,13,01506,Envira,19143
AM,13,01605,"Fonte Boa",20199
AM,13,01654,Guajará,16085
AM,13,01704,Humaitá,52354
AM,13,01803,Ipixuna,27587
AM,13,01852,Iranduba,46703
AM,13,01902,Itacoatiara,98503
AM,13,01951,Itamarati,8153
AM,13,02009,Itapiranga,9040
AM,13,02108,Japurá,4660
AM,13,02207,Juruá,13581
AM,13,02306,Jutaí,16200
AM,13,02405,Lábrea,44071
AM,13,02504,Manacapuru,95330
AM,13,02553,Manaquiri,29327
AM,13,02603,Manaus,2094391
AM,13,02702,Manicoré,53890
AM,13,02801,Maraã,18477
AM,13,02900,Maués,61110
AM,13,03007,Nhamundá,20633
AM,13,03106,"Nova Olinda do Norte",35800
AM,13,03205,"Novo Airão",18133
AM,13,03304,"Novo Aripuanã",24718
AM,13,03403,Parintins,112716
AM,13,03502,Pauini,19488
AM,13,03536,"Presidente Figueiredo",33703
AM,13,03569,"Rio Preto da Eva",31274
AM,13,03601,"Santa Isabel do Rio Negro",23092
AM,13,03700,"Santo Antônio do Içá",23378
AM,13,03809,"São Gabriel da Cachoeira",43831
AM,13,03908,"São Paulo de Olivença",37300
AM,13,03957,"São Sebastião do Uatumã",13105
AM,13,04005,Silves,9147
AM,13,04062,Tabatinga,62346
AM,13,04104,Tapauá,18039
AM,13,04203,Tefé,62230
AM,13,04237,Tonantins,18632
AM,13,04260,Uarini,13276
AM,13,04302,Urucará,17065
AM,13,04401,Urucurituba,21650
RR,14,00027,Amajari,11285
RR,14,00050,"Alto Alegre",16053
RR,14,00100,"Boa Vista",326419
RR,14,00159,Bonfim,11843
RR,14,00175,Cantá,16516
RR,14,00209,Caracaraí,20537
RR,14,00233,Caroebe,9331
RR,14,00282,Iracema,10592
RR,14,00308,Mucajaí,16618
RR,14,00407,Normandia,10339
RR,14,00456,Pacaraima,12144
RR,14,00472,Rorainópolis,27756
RR,14,00506,"São João da Baliza",7629
RR,14,00605,"São Luiz",7503
RR,14,00704,Uiramutã,9664
PA,15,00107,Abaetetuba,151934
PA,15,00131,"Abel Figueiredo",7179
PA,15,00206,Acará,54080
PA,15,00305,Afuá,37778
PA,15,00347,"Água Azul do Norte",26497
PA,15,00404,Alenquer,54960
PA,15,00503,Almeirim,33282
PA,15,00602,Altamira,109938
PA,15,00701,Anajás,28012
PA,15,00800,Ananindeua,510834
PA,15,00859,Anapu,26271
PA,15,00909,"Augusto Corrêa",44227
